Date,Open,High,Low,Close,Adj Close,Volume
2022-01-18,99.169998,99.360001,97.510002,97.730003,95.461250,11396000
2022-01-19,97.940002,98.389999,96.779999,96.870003,94.621201,10856800
2022-01-20,97.489998,98.940002,95.589996,95.720001,93.497894,20311500
2022-01-21,95.900002,98.410004,95.470001,96.309998,94.074196,13438300
2022-01-24,94.750000,98.349998,94.410004,98.099998,95.822647,17201400
2022-01-25,96.669998,98.089996,95.129997,97.010002,94.757950,12368500
2022-01-26,97.699997,98.639999,94.900002,95.580002,93.361145,11863000
2022-01-27,96.620003,97.169998,95.059998,95.320000,93.107185,7322200
2022-01-28,95.059998,97.220001,93.790001,97.209999,94.953300,8345400
2022-01-31,97.029999,98.400002,96.419998,98.320000,96.037544,8807700
2022-02-01,98.419998,99.029999,96.800003,98.760002,96.467323,11601900
2022-02-02,95.800003,99.150002,94.739998,97.730003,95.461250,15578800
2022-02-03,96.839996,97.470001,95.669998,95.940002,93.712791,8901100
2022-02-04,95.410004,95.940002,93.830002,95.000000,92.794601,8267600
2022-02-07,95.349998,96.110001,94.879997,95.190002,92.980202,6849000
2022-02-08,95.290001,96.029999,94.349998,94.919998,92.716461,7161000
2022-02-09,96.250000,97.970001,96.199997,97.129997,94.875160,9353700
2022-02-10,95.459999,96.809998,94.980003,95.309998,93.569443,9098800
2022-02-11,95.589996,96.489998,93.360001,93.730003,92.018311,6924800
2022-02-14,93.750000,94.489998,92.419998,93.650002,91.939766,7948500
2022-02-15,95.150002,95.459999,94.360001,94.510002,92.784058,7722200
2022-02-16,94.339996,95.550003,93.160004,95.180000,93.441826,6545800
2022-02-17,94.419998,94.629997,92.779999,93.050003,91.350723,6578200
2022-02-18,92.559998,94.050003,92.529999,93.339996,91.635422,6210600
2022-02-22,93.599998,94.040001,92.360001,93.110001,91.409630,8622500
2022-02-23,93.879997,93.879997,89.440002,89.650002,88.012817,9674800
2022-02-24,87.500000,91.199997,87.250000,91.010002,89.347977,9260500
2022-02-25,91.300003,92.790001,90.279999,92.580002,90.889305,7039400
2022-02-28,91.290001,92.309998,90.620003,91.790001,90.113731,8591500
2022-03-01,91.489998,91.510002,89.650002,90.139999,88.493866,7100700
2022-03-02,90.769997,93.279999,90.589996,92.769997,91.075836,10721100
2022-03-03,93.480003,93.500000,91.080002,91.529999,89.858475,6587400
2022-03-04,90.970001,91.160004,89.449997,90.029999,88.385872,7179800
2022-03-07,90.040001,90.050003,84.349998,84.459999,82.917595,14608700
2022-03-08,84.760002,86.919998,83.760002,84.000000,82.465988,10692000
2022-03-09,86.500000,88.129997,86.330002,87.599998,86.000252,8811600
